customer_id,tenure,monthly_charges,support_calls,contract_type,payment_method,num_products,age,autopay,customer_segment,churn
1000181,49,62.84,0,month-to-month,bank-transfer,3,37,1,4138,1
1000182,53,63.68,2,two-year,mailed,4,73,1,5987,0
1000183,12,20.77,1,month-to-month,electronic,3,31,0,5065,0
1000184,40,108.7,2,month-to-month,credit-card,2,44,0,3787,0
1000185,28,74.68,0,month-to-month,electronic,2,30,0,94,1
1000186,36,75.42,2,month-to-month,bank-transfer,2,24,1,6537,0
1000187,0,54.89,1,month-to-month,bank-transfer,2,40,0,498,1
1000188,45,87.58,4,two-year,electronic,2,23,0,5114,1
1000189,18,97.71,0,month-to-month,bank-transfer,1,23,0,3987,1
1000190,39,88.57,2,two-year,mailed,4,39,1,2170,0
1000191,30,36.93,1,two-year,bank-transfer,3,33,0,2020,0
1000192,43,15.57,0,two-year,electronic,4,53,1,3827,0
1000193,7,66.33,1,month-to-month,electronic,3,36,1,5180,0
1000194,26,85.24,5,month-to-month,mailed,5,32,0,3596,0
1000195,45,15.0,2,month-to-month,credit-card,2,72,0,5954,0
1000196,55,40.79,2,month-to-month,credit-card,1,51,0,6215,1
1000197,27,53.18,1,two-year,bank-transfer,1,33,0,4486,0
1000198,1,70.74,2,month-to-month,electronic,4,55,1,3376,1
1000199,52,104.19,2,month-to-month,electronic,2,45,0,1066,1
1000200,36,56.41,1,month-to-month,electronic,1,71,1,3620,1
1000201,47,97.59,3,one-year,mailed,4,49,0,6221,0
1000202,11,59.57,2,month-to-month,credit-card,4,46,1,5997,0
1000203,31,99.57,2,month-to-month,mailed,1,22,0,874,0
1000204,63,49.34,0,two-year,bank-transfer,5,48,0,903,0
1000205,62,69.13,1,one-year,electronic,2,55,1,441,0
1000206,22,96.75,1,one-year,electronic,5,47,1,5835,1
1000207,45,69.18,0,month-to-month,credit-card,4,39,1,2266,0
1000208,6,15.0,2,month-to-month,credit-card,2,54,0,5342,0
1000209,58,59.22,0,one-year,bank-transfer,4,63,0,5986,0
1000210,19,83.35,2,month-to-month,mailed,4,74,0,2011,0
1000211,24,70.11,0,one-year,electronic,1,38,0,2373,1
1000212,69,35.08,0,month-to-month,bank-transfer,4,54,1,6089,0
1000213,39,52.79,3,month-to-month,electronic,5,26,0,4357,1
1000214,62,91.15,4,one-year,electronic,3,73,1,6517,0
1000215,14,96.49,0,month-to-month,mailed,2,27,1,5248,1
1000216,54,83.43,1,two-year,credit-card,2,48,1,3376,0
1000217,71,47.1,0,month-to-month,electronic,1,27,1,1300,1
1000218,5,39.87,0,month-to-month,credit-card,2,79,1,1025,1
1000219,17,135.19,1,month-to-month,bank-transfer,4,47,1,3179,1
1000220,10,34.06,2,month-to-month,electronic,3,81,1,1033,0
1000221,18,105.83,3,month-to-month,mailed,4,79,1,6505,1
1000222,22,72.99,0,month-to-month,bank-transfer,4,49,1,1244,0
1000223,5,86.76,1,two-year,electronic,3,65,0,1698,0
1000224,64,80.63,0,month-to-month,electronic,3,62,0,4769,0
1000225,18,60.84,0,one-year,bank-transfer,2,81,1,2613,0
1000226,66,89.01,2,month-to-month,electronic,5,32,1,5982,0
1000227,54,39.63,0,month-to-month,electronic,1,68,1,2524,0
1000228,12,57.8,0,month-to-month,electronic,5,51,1,3461,0
1000229,50,74.92,1,one-year,electronic,5,36,1,6093,0
1000230,55,15.0,1,two-year,bank-transfer,3,81,1,3366,0
1000231,9,110.81,4,month-to-month,bank-transfer,3,27,0,2961,0
1000232,9,63.46,1,two-year,mailed,5,19,0,2248,0
1000233,27,59.79,1,two-year,bank-transfer,3,67,1,6128,0
1000234,4,35.62,1,month-to-month,mailed,5,80,1,6740,0
1000235,30,62.03,1,month-to-month,electronic,4,44,0,4694,1
1000236,34,23.97,2,two-year,electronic,2,61,1,1737,0
1000237,47,35.08,2,month-to-month,electronic,4,57,1,1084,0
1000238,41,45.71,2,one-year,electronic,2,80,0,5379,0
1000239,32,67.59,2,month-to-month,electronic,5,18,1,4903,1
1000240,15,65.67,0,month-to-month,electronic,1,36,1,5549,1
1000241,42,46.0,2,one-year,electronic,5,57,1,4015,0
1000242,32,51.39,3,month-to-month,electronic,4,41,1,487,1
1000243,60,85.55,1,month-to-month,bank-transfer,2,70,1,2708,0
1000244,50,44.21,3,month-to-month,electronic,4,65,1,3627,0
1000245,52,113.98,0,two-year,mailed,3,44,1,2229,0
1000246,41,87.24,1,month-to-month,electronic,4,61,0,6051,1
1000247,26,47.22,5,month-to-month,mailed,2,40,1,106,1
1000248,20,25.55,3,month-to-month,mailed,4,77,1,3243,0
1000249,32,70.78,0,one-year,electronic,2,27,1,4396,0
1000250,41,99.53,2,one-year,bank-transfer,1,40,0,2535,0
1000251,26,71.33,1,month-to-month,credit-card,1,74,1,2800,1
1000252,10,70.32,2,one-year,mailed,5,52,0,969,1
1000253,7,21.48,1,month-to-month,credit-card,4,76,1,5704,1
1000254,3,92.32,0,one-year,bank-transfer,5,43,1,1794,0
1000255,14,33.36,1,two-year,credit-card,3,47,0,338,0
1000256,29,115.35,1,month-to-month,electronic,3,53,0,3057,1
1000257,20,68.94,4,one-year,credit-card,2,35,1,2743,0
1000258,12,117.92,0,one-year,bank-transfer,4,51,0,5124,1
1000259,22,88.42,1,month-to-month,mailed,4,69,1,3184,0
1000260,51,15.0,1,month-to-month,electronic,2,36,0,1946,0
1000261,22,64.88,2,month-to-month,electronic,3,42,0,6615,1
1000262,66,86.08,1,one-year,electronic,2,64,1,3385,0
1000263,41,111.63,4,month-to-month,electronic,2,56,0,4438,0
1000264,9,63.56,0,month-to-month,electronic,4,68,0,4062,1
1000265,69,83.48,1,month-to-month,electronic,2,82,1,2300,0
1000266,63,15.97,1,month-to-month,mailed,3,20,0,2703,0
1000267,55,73.89,3,two-year,electronic,1,23,0,5059,0
1000268,11,61.57,2,two-year,electronic,3,74,1,4255,1
1000269,56,86.9,2,month-to-month,mailed,3,77,0,4079,0
1000270,50,65.27,1,month-to-month,electronic,1,62,1,57,0
1000271,54,60.91,3,one-year,credit-card,5,28,1,1517,0
1000272,51,64.12,4,two-year,electronic,1,20,0,6250,0
1000273,42,87.69,3,month-to-month,bank-transfer,1,57,0,1830,1
1000274,24,112.26,2,two-year,bank-transfer,4,72,0,4724,0
1000275,66,96.28,2,month-to-month,credit-card,4,57,0,4043,0
1000276,70,102.69,1,two-year,electronic,4,69,1,6636,0
1000277,49,37.8,0,month-to-month,electronic,4,49,1,4314,0
1000278,25,24.88,0,month-to-month,electronic,3,65,1,5505,0
1000279,36,34.92,0,two-year,electronic,4,75,0,39,0
1000280,40,35.62,1,month-to-month,credit-card,3,69,1,3985,1
1000281,5,85.02,2,month-to-month,bank-transfer,3,37,0,325,1
1000282,6,64.69,0,month-to-month,bank-transfer,3,84,1,3648,1
1000283,35,59.82,2,two-year,electronic,4,48,1,3007,0
1000284,40,138.8,2,one-year,bank-transfer,2,45,1,6456,0
1000285,15,60.4,2,month-to-month,electronic,4,59,1,1333,1
1000286,18,96.49,0,month-to-month,mailed,3,27,0,1209,1
1000287,9,70.71,2,month-to-month,bank-transfer,1,33,0,4100,1
1000288,65,35.35,1,two-year,electronic,4,43,0,985,0
1000289,36,17.09,0,one-year,bank-transfer,3,19,0,3588,0
1000290,19,50.52,2,month-to-month,bank-transfer,3,54,0,369,1
1000291,56,81.94,1,one-year,bank-transfer,4,35,1,5964,0
1000292,69,85.46,1,two-year,credit-card,1,39,0,4296,0
1000293,21,108.38,0,one-year,electronic,4,37,1,6417,0
1000294,64,85.76,3,two-year,bank-transfer,4,25,1,5326,0
1000295,55,126.95,1,one-year,credit-card,5,68,1,3246,0
1000296,57,47.8,2,two-year,mailed,5,55,0,2644,0
1000297,37,48.13,3,two-year,mailed,3,45,0,846,0
1000298,65,94.18,0,month-to-month,bank-transfer,4,39,0,4985,1
1000299,10,65.29,0,month-to-month,credit-card,3,67,1,2241,1
1000300,6,103.1,0,month-to-month,electronic,2,60,1,4101,0
1000301,69,119.63,1,one-year,mailed,2,20,0,5995,0
1000302,35,81.84,2,month-to-month,credit-card,3,74,1,4682,0
1000303,28,59.76,1,month-to-month,bank-transfer,1,32,0,1998,1
1000304,52,15.0,3,two-year,mailed,3,64,1,237,0
1000305,21,62.41,2,month-to-month,credit-card,2,31,0,1511,1
1000306,45,79.44,0,one-year,mailed,4,75,1,6596,0
1000307,60,28.96,1,two-year,electronic,3,37,0,1334,0
1000308,57,83.77,2,two-year,credit-card,1,71,1,1268,0
1000309,8,78.3,1,one-year,electronic,5,18,1,2800,0
1000310,69,76.31,4,one-year,electronic,1,33,1,272,1
1000311,52,99.46,1,two-year,mailed,3,73,1,2261,0
1000312,50,118.22,1,one-year,electronic,4,29,0,6090,0
1000313,13,38.91,2,two-year,electronic,5,51,1,6039,0
1000314,66,65.93,0,month-to-month,bank-transfer,3,80,1,3303,0
1000315,28,80.71,1,two-year,bank-transfer,1,34,0,6483,0
1000316,67,119.3,0,month-to-month,bank-transfer,1,61,0,1100,0
1000317,16,73.51,0,two-year,mailed,5,61,1,4455,0
1000318,6,90.86,1,month-to-month,bank-transfer,2,58,1,3075,1
1000319,60,74.8,4,month-to-month,electronic,5,48,1,668,0
1000320,42,78.0,1,month-to-month,electronic,5,54,1,6631,0
1000321,28,78.97,1,month-to-month,electronic,1,79,0,5650,1
1000322,70,106.65,1,month-to-month,credit-card,5,47,0,171,0
1000323,70,88.02,1,one-year,credit-card,5,56,0,4507,0
1000324,0,100.02,2,one-year,electronic,1,82,0,2879,0
1000325,45,75.26,3,month-to-month,mailed,3,75,0,2849,0
1000326,58,62.58,1,one-year,electronic,1,70,1,2708,0
1000327,49,69.33,2,one-year,electronic,2,23,0,781,0
1000328,43,101.71,0,one-year,bank-transfer,4,28,0,4992,1
1000329,37,74.39,1,month-to-month,bank-transfer,5,55,1,1465,1
1000330,38,23.88,2,two-year,mailed,2,55,1,2754,0
1000331,22,85.28,2,month-to-month,electronic,5,25,0,408,1
1000332,10,35.01,1,month-to-month,electronic,1,71,0,6404,1
1000333,28,15.0,4,one-year,mailed,2,23,0,699,1
1000334,50,67.23,1,two-year,electronic,5,52,1,2755,0
1000335,67,122.63,3,one-year,electronic,3,48,1,3311,0
1000336,69,96.3,2,month-to-month,bank-transfer,5,34,0,1311,0
1000337,14,88.76,5,two-year,electronic,4,32,1,1244,0
1000338,2,44.53,0,month-to-month,mailed,3,31,1,57,1
1000339,71,36.11,3,two-year,mailed,3,63,0,3812,0
1000340,48,37.5,3,two-year,electronic,3,30,0,5306,0
1000341,54,57.19,4,one-year,electronic,1,38,1,4213,0
1000342,58,46.44,4,month-to-month,electronic,1,76,0,602,0
1000343,25,72.1,4,month-to-month,bank-transfer,1,52,0,3831,1
1000344,62,76.3,1,month-to-month,credit-card,5,59,0,5509,0
1000345,46,41.39,0,month-to-month,bank-transfer,4,76,1,4717,0
1000346,46,85.26,0,month-to-month,electronic,1,70,0,1886,0
1000347,27,15.0,2,month-to-month,electronic,4,71,1,719,0
1000348,24,50.92,1,one-year,bank-transfer,4,78,0,2375,0
1000349,27,52.1,0,month-to-month,electronic,5,71,1,2816,0
1000350,51,45.8,0,one-year,mailed,1,37,0,366,1
1000351,36,62.25,2,month-to-month,electronic,1,45,0,2429,0
1000352,1,61.68,1,one-year,electronic,2,19,1,1168,0
1000353,1,76.69,0,month-to-month,credit-card,3,71,0,5799,1
1000354,13,81.01,4,month-to-month,mailed,4,21,1,892,1
1000355,35,15.57,1,month-to-month,bank-transfer,4,44,1,1332,1
1000356,43,96.79,0,month-to-month,bank-transfer,5,44,1,683,0
1000357,69,82.56,5,two-year,credit-card,3,54,1,2022,0
1000358,56,107.42,0,month-to-month,electronic,5,68,1,4297,0
1000359,20,113.71,0,month-to-month,electronic,1,31,1,5375,1
1000360,37,123.4,1,two-year,bank-transfer,2,61,1,53,1
1000361,53,109.66,2,month-to-month,credit-card,1,47,0,5453,0
1000362,63,69.7,2,month-to-month,credit-card,5,71,1,6804,0
1000363,31,115.37,4,month-to-month,electronic,1,19,1,3138,1
1000364,51,71.48,3,one-year,credit-card,4,81,0,3000,0
1000365,15,59.65,0,one-year,mailed,4,19,1,1802,0
1000366,33,73.62,4,month-to-month,electronic,1,30,0,550,1
1000367,65,126.88,3,one-year,electronic,4,73,0,4081,0
1000368,27,103.77,1,month-to-month,mailed,3,61,0,4374,1
1000369,1,76.29,3,two-year,credit-card,2,70,0,2815,1
1000370,56,71.96,0,two-year,bank-transfer,4,21,1,857,0
1000371,21,44.32,1,month-to-month,electronic,4,22,0,4415,1
1000372,31,99.39,1,month-to-month,electronic,2,56,1,5124,1
1000373,71,15.0,0,month-to-month,mailed,4,75,1,2395,0
1000374,27,74.37,6,one-year,electronic,5,44,0,4422,1
1000375,18,60.53,0,month-to-month,bank-transfer,1,58,1,1140,0
1000376,16,51.97,0,one-year,electronic,3,52,0,1587,0
1000377,61,97.4,0,month-to-month,electronic,4,46,1,1647,1
1000378,15,61.82,1,one-year,credit-card,1,69,0,3471,1
1000379,43,117.06,1,month-to-month,credit-card,4,33,1,91,0
1000380,17,32.17,2,two-year,credit-card,3,70,1,5575,0
1000381,58,135.97,2,one-year,credit-card,5,68,0,1361,0
1000382,51,52.73,1,month-to-month,mailed,1,44,1,2853,1
1000383,45,92.8,2,one-year,electronic,3,74,0,546,1
1000384,30,53.43,0,month-to-month,credit-card,2,74,0,6056,0
1000385,26,52.69,0,one-year,mailed,1,36,1,6640,0
1000386,68,71.79,0,one-year,credit-card,5,34,0,1529,0
1000387,54,93.33,1,two-year,credit-card,2,62,1,2308,0
1000388,28,54.62,3,month-to-month,mailed,2,41,0,5491,1
1000389,1,48.46,0,month-to-month,electronic,3,43,1,3005,1
1000390,9,53.99,2,month-to-month,mailed,3,56,1,2124,1
1000391,32,29.74,1,month-to-month,electronic,1,43,0,1208,1
1000392,33,31.07,1,two-year,credit-card,4,60,1,5090,0
1000393,26,75.47,1,month-to-month,bank-transfer,5,46,1,975,1
1000394,70,95.5,0,month-to-month,bank-transfer,4,28,0,1164,0
1000395,34,94.34,2,month-to-month,electronic,4,38,1,3842,1
1000396,57,67.85,0,month-to-month,bank-transfer,2,26,1,3340,0
1000397,9,75.58,1,month-to-month,electronic,3,60,1,6667,0
1000398,26,15.0,0,month-to-month,bank-transfer,5,34,0,1128,0
1000399,16,43.86,1,two-year,credit-card,5,58,0,5556,0
1000400,10,55.63,3,two-year,electronic,2,64,0,5909,0
1000401,40,82.2,2,month-to-month,electronic,1,83,0,3196,1
1000402,10,82.67,2,two-year,credit-card,1,77,1,6999,0
1000403,27,66.03,0,month-to-month,mailed,4,27,0,5748,1
1000404,49,70.46,0,two-year,electronic,5,60,1,485,0
1000405,56,136.43,2,month-to-month,electronic,1,24,0,3615,1
1000406,40,43.19,1,month-to-month,credit-card,3,18,0,559,0
1000407,43,71.75,2,month-to-month,electronic,5,48,0,3007,1
1000408,21,55.63,1,month-to-month,electronic,3,26,0,6166,0
1000409,62,49.35,1,two-year,bank-transfer,1,54,1,6351,0
1000410,13,59.55,1,two-year,bank-transfer,1,34,0,410,0
1000411,52,73.94,2,month-to-month,credit-card,1,68,0,4651,1
1000412,6,46.62,0,month-to-month,mailed,3,52,1,5665,0
1000413,43,126.62,1,month-to-month,electronic,1,36,1,4295,1
1000414,18,64.14,0,one-year,credit-card,1,50,1,59,0
1000415,20,64.19,0,two-year,credit-card,1,72,0,1380,0
1000416,24,117.22,2,two-year,credit-card,4,81,0,3139,0
1000417,56,116.62,3,two-year,credit-card,4,55,1,4452,0
1000418,56,109.59,0,one-year,bank-transfer,4,75,1,2665,0
1000419,18,104.76,1,month-to-month,credit-card,1,28,1,6197,1
1000420,38,15.0,0,month-to-month,mailed,4,77,0,3788,0
1000421,5,53.3,2,one-year,bank-transfer,4,80,1,5537,0
1000422,64,60.92,0,one-year,electronic,1,19,1,3168,0
